,title,channelTitle,duration,trended_later,tags,ratings_disabled,description,Channel_viewCount,Channel_subscriberCount,Channel_hiddenSubscriberCount,Channel_videoCount,Channel_description,view_count_update_11_19_14,likes_update_11_19_14,dislikes_update_11_19_14,comment_count_update_11_19_14,trending?,engagement_rate,INTL,UNK,USA,Category_24.0,Category_25.0,Category_26.0,Category_17.0,Category_22.0,Category_20.0,Category_1.0,Category_10.0,Category_23.0,Category_28.0,Category_2.0,Category_27.0,Category_19.0,Category_15.0,Category_30.0,Category_29.0
0,0.0,0.0,-0.0707230866960673,False,36.0,0,0.034,0.8199399529639629,0.5046080758673096,0,-0.1901698557352475,0.122,6.1521753117970075,3.3912730600873036,10.31636301427763,2.8552959879197943,1,0.02849247706422018,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,-0.0856798827419832,False,28.0,0,0.048,-0.27496977728658634,-0.3502547410844217,0,1.1557723397431623,0.0,3.0019109352889566,0.5786772109666966,4.999903305763468,3.1422503945455342,1,0.09036095238095238,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.09488158288091483,False,13.0,0,0.062,0.6501905221829396,0.4612140242453943,0,1.2668359337620771,0.107,1.3683389218193722,0.5375235451359424,2.3145060080273443,1.0663816183509571,1,0.006720865384615385,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.274,0.0,-0.07104706061763949,False,0.0,0,0.27599999999999997,-0.2582170040256577,0.0029728391179687577,0,-0.40831337117207456,0.0,1.882085834470894,2.655548399197996,2.7749593449413723,0.7216741826932677,1,0.04511171875,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,-0.07288291283988188,False,12.0,0,0.0,-0.3307112245402615,-0.4077084654318376,0,-0.20487649669082653,0.188,0.28092249051815443,-0.07126777770663327,0.04915918254410823,0.022729108567336453,1,0.029917525773195883,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,-0.06397362999664677,False,23.0,0,0.071,-0.28665240953144505,-0.3573713655504159,0,0.669614520293054,0.0,-0.08930493916162961,-0.16158721368456666,-0.14449592738342548,-0.09811386307047112,1,0.003426652892561984,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,-0.0701291345065183,False,12.0,0,0.0,-0.2918043727941912,-0.3450474548897919,0,-0.3645528774121948,0.0,-0.012077897505292923,-0.1391713263273777,-0.0037825021842822822,0.021299578145753558,1,0.005687387387387386,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,-0.0202911462379971,False,13.0,0,0.037000000000000005,-0.06373749483520605,1.0340155056546765,0,-0.40055569294907056,-0.096,0.8934116043581092,1.0846615323558193,7.182006298022459,-0.12984943842961144,1,0.005875823529411765,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.204,0.0,-0.061921795160022934,False,34.0,0,0.072,-0.2056084039159097,-0.3181431428842044,0,-0.1531786101545141,0.0,0.3746076725168377,0.13541364840775755,2.1926008129290766,0.4736030035345822,1,0.02282394366197183,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,-0.050366725290614985,False,16.0,0,0.0,-0.2918043727941912,-0.3450474548897919,0,-0.3645528774121948,0.0,0.08220247207695087,-0.0971688661388642,0.0550802920203098,0.06971300842336099,1,0.009087387387387387,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-0.167,0.0,-0.0817382000295216,False,33.0,0,0.011000000000000003,0.8199399529639629,0.5046080758673096,0,-0.1901698557352475,0.122,2.218256829845315,0.9107358521385944,1.52839164992223,0.492758711183793,1,0.008522752293577981,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,-0.03783973365649048,False,12.0,0,0.225,-0.14945607458277768,-0.023063591855180414,0,-0.3641634958797661,0.21100000000000002,1.3478061953488432,4.374164065852007,0.9732005613889768,17.50855462131312,1,0.1121890041493776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.297,0.0,-0.09226735248061764,False,34.0,0,0.019999999999999997,-0.2056084039159097,-0.3181431428842044,0,-0.1531786101545141,0.0,0.4351428983708943,-0.031271558727369045,1.9783959701135487,0.4250942712288692,1,0.013338028169014084,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,-0.05220257751285737,False,24.0,0,0.028,1.6172361430780695,1.311737436034934,0,-0.20400787634925466,0.11199999999999999,0.3124317377940121,0.3198077923706806,-0.03896085848406808,0.044648575031607546,1,0.0020914356435643567,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,-0.057764129833179884,False,5.0,0,0.144,1.657307265487926,1.6415322283614904,0,-0.3092606998073091,0.0,0.7661253024049456,4.3374086980569135,0.67923489092344,9.52700976747528,1,0.018922625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-0.135,0.0,-0.06910321708820638,False,0.0,0,0.04800000000000001,-0.3351577424141229,-0.3372365255978472,0,-0.4114583758570762,0.374,0.48964157735235403,0.4565408470933614,0.3821345154410906,0.2970083454550417,1,0.0462725,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,-0.05700819068284479,False,5.0,0,0.224,-0.19926782959961434,0.3943871847476447,0,-0.4042098888687867,0.0,0.9166089781692648,2.358637560749676,0.407560456133015,0.6379036999885098,1,0.02149595015576324,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.028250946344235358,False,15.0,0,0.116,-0.1814009927046892,0.3466537279635379,0,-0.4073548935537883,0.0,1.5870595673711851,2.8590789977722184,0.8478123607164728,1.6203723077283818,1,0.028218942731277525,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,-0.032278181336167965,False,19.0,0,0.174,-0.11617140463813252,0.70422071332812,0,-0.4084331808743603,0.197,3.0435960640056465,3.3585430352312815,1.6757227857124215,1.4279575129833244,1,0.022200454545454544,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.168,0.0,-0.08562588708838784,False,21.0,0,0.072,-0.3406264703707167,-0.2426374930620718,0,-0.4120274719429336,0.0,5.518225825566539,6.0442055463051565,4.834808841544671,3.467325612413485,1,0.2285043668122271,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.25,0.0,-0.09615503953948387,False,32.0,0,0.134,-0.2056084039159097,-0.3181431428842044,0,-0.1531786101545141,0.0,0.17304785390358324,-0.0286865940923748,2.127120308133436,0.208186855260691,1,0.011876760563380282,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.412,-1.0,-0.058358082022728894,False,25.0,0,0.043,-0.15327832204441874,0.052442057966952185,0,-0.3862983383770632,-0.017,0.4565679911626612,0.7376203847174124,0.12090909737337432,0.3464700980418099,1,0.01369103690685413,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
